0xCE;SET 1 (IY+{0:02X})
0xCF;SET 1 (IY+{0:02X}), A
0xD0;SET 2 (IY+{0:02X}), B
0xD1;SET 2 (IY+{0:02X}), C
0xD2;SET 2 (IY+{0:02X}), D
0xD3;SET 2 (IY+{0:02X}), E
0xD4;SET 2 (IY+{0:02X}), H
0xD5;SET 2 (IY+{0:02X}), L
0xD6;SET 2 (IY+{0:02X})
0xD7;SET 2 (IY+{0:02X}), A
0xD8;SET 3 (IY+{0:02X}), B
0xD9;SET 3 (IY+{0:02X}), C
0xDA;SET 3 (IY+{0:02X}), D
0xDB;SET 3 (IY+{0:02X}), E
0xDC;SET 3 (IY+{0:02X}), H
0xDD;SET 3 (IY+{0:02X}), L
0xDE;SET 3 (IY+{0:02X})
0xDF;SET 3 (IY+{0:02X}), A
0xE0;SET 4 (IY+{0:02X}), B
0xE1;SET 4 (IY+{0:02X}), C
0xE2;SET 4 (IY+{0:02X}), D
0xE3;SET 4 (IY+{0:02X}), E
0xE4;SET 4 (IY+{0:02X}), H
0xE5;SET 4 (IY+{0:02X}), L
0xE6;SET 4 (IY+{0:02X})
0xE7;SET 4 (IY+{0:02X}), A
0xE8;SET 5 (IY+{0:02X}), B
0xE9;SET 5 (IY+{0:02X}), C
0xEA;SET 5 (IY+{0:02X}), D
0xEB;SET 5 (IY+{0:02X}), E
0xEC;SET 5 (IY+{0:02X}), H
0xED;SET 5 (IY+{0:02X}), L
0xEE;SET 5 (IY+{0:02X})
0xEF;SET 5 (IY+{0:02X}), A
0xF0;SET 6 (IY+{0:02X}), B
0xF1;SET 6 (IY+{0:02X}), C
0xF2;SET 6 (IY+{0:02X}), D
0xF3;SET 6 (IY+{0:02X}), E
0xF4;SET 6 (IY+{0:02X}), H
0xF5;SET 6 (IY+{0:02X}), L
0xF6;SET 6 (IY+{0:02X})
0xF7;SET 6 (IY+{0:02X}), A
0xF8;SET 7 (IY+{0:02X}), B
0xF9;SET 7 (IY+{0:02X}), C
0xFA;SET 7 (IY+{0:02X}), D
0xFB;SET 7 (IY+{0:02X}), E
0xFC;SET 7 (IY+{0:02X}), H
0xFD;SET 7 (IY+{0:02X}), L
0xFE;SET 7 (IY+{0:02X})
0xFF;SET 7 (IY+{0:02X}), A
